Osoba	Den	Body	Popisek
Nečas	2013-06-13	20,0	Těsně po policejním zásahu se objevily spekulace, že je premiér nemocný, nebo že zkolaboval. Veřejně vystoupil až odpoledne a prohlásil, že nehodlá rezignovat. Sledování své manželky prý nenařídil a ani o něm nevěděl.
Nečas	2013-06-17	15,0	Podává demisi a končí také jako předseda ODS.
Nečas	2013-06-25	15,5	Nečasova tehdejší manželka Radka využila svého práva nevypovídat.
Nečas	2013-07-13	15,0	Nečas v rozhovoru pro deník Právo poprvé oficiálně potvrdil vztah s Janou Nagyovou. „Je to pevný vztah… a jednoznačně za ním stojím,“ řekl.
Nečas	2013-08-06	14,0	Expremiér se rozvedl s manželkou Radkou. Žili spolu 27 let, mají dva syny a dvě dcery.
Nečas	2013-09-21	14,0	Vzal si Janu Nagyovou.
Nečas	2013-09-30	14,5	Nastoupil jako pedagog do Cevro Institutu – do akademie založené a řízené politiky z ODS.
Nečas	2013-11-11	13,0	Jako svědek je předvolán na policii, ale odmítá v kauze své nynější manželky Jany vypovídat. Bude prý spolupracovat až s nezávislým soudem.
Nečas	2013-12-12	11,0	Server Aktuálně.cz zveřejnil část odposlechů, z nich vyplývá, že Nečas podepsal kritizovanou amnestii Václava Klause za to, že prezident podpoří konsolidační balíček. „Šlo o podpis za podpis,“ řekl podle policejního spisu Janě Nagyové. Nečas takový obchod popřel a řekl, že prohlášení je vytrženo z kontextu.
Nečas	2014-01-28	12,0	Majitel finanční skupiny SPGroup Pavel Sehnal řekl, že s bývalým premiérem spolupracuje a radí se s ním. Uvedly to Lidové noviny.
Nečas	2014-02-11	10,5	Policie obvinila Nečase z nabízení úplatku třem bývalým poslancům.
Nečas	2014-02-12	11,0	Prezident Miloš Zeman se v České televizi zastal Nečase. Řekl o něm, že je slušný člověk, který podlehl vlivu svého okolí. „Vlivu, který Francouzi vyjadřují známým příslovím cherchez la femme,“ dodal Zeman.
Nečas	2014-02-18	11,5	Za Nečase se v rozhovoru pro MF DNES postavil nový předseda ODS Petr Fiala. Kritizoval postup žalobců v kauze údajných trafik.
Nečas	2014-03-26	12,0	ODS sepsala ústavní stížnost proti stíhání expremiéra. Podepsalo ji 15 poslanců z ODS a 12 poslanců z TOP 09.
Nečas	2014-05-28	10,5	Nejvyšší státní zastupitelství zamítlo Nečasovu stížnost na trestní stíhání.
